Company,Address,Postal code,City,Country,Website,Phone,Online,Physical,Latitude,Longitude,State/Province
Address,"Av. Almirante Cochrane, 194 2°andar – CJ22",SP 11040-003,Aparecida – Santos,,http://celinadiasbebe.com.br/,,X,X,-23.9716879,-46.3091549,
Postal code,Laugavegi 7,101,Reykjavík,IS,,,X,X,64.1463894,-21.9317804,
City,Laugavegi 7,101,Reykjavík,IS,,,X,X,64.1463894,-21.9317804,
Country,Kringlan,103,Reykjavík,IS,,,X,X,64.1300757,-21.8951678,
Website,Kringlan,103,Reykjavík,IS,,,X,X,64.1300757,-21.8951678,
Phone,Smáralind,200,Kópavogur,IS,,,X,X,64.1110315,-21.9086053,
Online,Smáralind,200,Kópavogur,IS,,,X,X,64.1110315,-21.9086053,
Physical,Armuli 23,108,Reykjavik,,https://petit.is/search?q=Sebra,,X,X,64.1361774,-21.8778888,
Latitude,Skeifan 6,108,Reykjavik,,https://www.epal.is/?s=sebra&post_type=product,,X,X,64.1313614,-21.8714771,
Longitude,Estrada Nacional 249- 4 Km 6,2785-035,São Domingos de Rana,,,,X,X,38.730421,-9.336559,
State/Province,"Rua Pinheiro Chagas, no 88",1050-180,Lisboa,,,,X,X,38.734824,-9.151487,
,"Rua Atlético Clube Montemorense 115 – Lote 5, R/c, Sala A",3140-209,Montemor-o-Velho,PT,,,X,X,40.1800942,-8.6719677,
,Av. Dr. Porfirio da Silva no 135,4415-044,Braga,,http://www.mimo-natura.pt,,X,X,41.5452633,-8.4130838,
,Húsagøta 2,,100 Tórshavn,Faroe Islands,http://alvaro@alvaro.fo,+298 220050,X,X,62.0143513,-6.7742294,
,"Unit 17, Birmingham Trade Park, Kingsbury Road",B24 9PS,Birmingham,UK,https://www.smallsmart.co.uk/collections/sebra,,X,X,52.5009959,-1.875007,
,CL YeclaPol industrial la 10,30500,Murcia,,,,X,X,38.051681,-1.2073261,
,"SEATON GRANGE OFFICES, GRANGE LANESEATON",LE15 9HT,OAKHAM,EN,https://ellajames.co.uk/search?type=product&q=sebra,,X,,52.5749563,-0.6798499,
,Ltd 166 Walton Street,SW3 2JL,London,UK,https://bluealmonds.co.uk/collections/sebra?sort_by=title-ascending,,X,X,51.4944035,-0.1675951,
,,,,,https://www.magasin.dk/maerker/sebra,,X,,,,
,"C/ Madrid, 1",43870,"Amposta, TARRAGONA",,https://toctockids.com/en/search?controller=search&s=sebra,,X,X,40.7099014,0.5803038,
,21 rue de la Trinité,31000,Toulouse,FR,https://www.bambinou.com/catalogsearch/result/?q=sebra,05 62 26 47 05,X,X,43.59967,1.4449877,
,343 rue Auguste Biblocq,62155,Merlimont,FR,,,,,50.4528514,1.6145226,
,23 rue d’Anjou,75008,Paris,FR,https://www.westwingnow.fr/brands/sebra/?searched=sebra,,X,,48.8709992,2.3212928,
,93 rue Réaumur,75002,Paris,FR,https://www.bambinou.com/,01 42 36 36 37,X,X,48.867485,2.346351,
,14 avenue Richerand,75010,Paris,FR,,+331 83 89 69 22,X,X,48.8722946,2.3664535,
,"Aartrijksesteenweg,9 GVA1",8490,Jabbeke,,,,,X,51.1806666,3.0890887,
,Maria van Bourgondiëlaan 43,8820,Torhout,BE,,,X,X,51.0690345,3.097517,
,Oostlaan 9,8560,Gullegem,,https://www.suprabazar.be/module/dtcelasticsearch/elasticsearch?id_elasticsearch,,X,X,50.8547935,3.1880078,
,Kortrijksesteenweg 69,8530,Harelbeke,BE,,,X,X,50.850289,3.3027381,
,Rue du Cygne 13,7500,Tournai,,https://tipiti.be/nl/,,X,X,50.6095261,3.3870063,
